arrived_at,num_prefill_tokens,num_decode_tokens
213.739,3089,19
213.739,2946,14
213.739,6288,80
213.739,3138,16
213.739,4531,370
213.739,15791,394
213.739,7367,35
213.739,6689,31
213.739,12606,564
213.739,15259,379
213.739,3124,17
213.739,7730,3
213.739,7310,3
213.739,6365,3
213.739,6865,27
213.739,6173,3
213.739,7645,292
213.739,2196,432
213.739,4765,328
213.739,7139,3
213.739,3088,26
213.739,11124,113
213.739,8363,3
216.795,3010,16
216.795,3128,17
216.795,38930,144
216.795,6165,22
216.795,1259,394
216.795,6209,3
216.795,6702,416
216.795,1152,441
216.795,6540,26
216.795,32190,387
216.795,6165,22
216.795,6175,3
216.795,6175,31
216.795,6164,3
216.795,6167,3
216.795,7394,3
216.795,6464,3
216.795,3154,22
219.848,27493,322
219.848,4043,19
219.848,6510,396
219.848,15552,249
219.848,9193,385
219.848,6827,3
219.848,6551,3
219.848,3133,21
219.848,6169,3
219.848,6886,3
219.848,6275,507
219.848,929,20
219.848,6577,3
219.848,19029,271
219.848,3170,22
222.901,3371,421
222.901,7482,3
222.901,5986,444
222.901,8814,3
222.901,8626,186
222.901,1799,420
222.901,6281,3
222.901,6202,3
222.901,28371,234
222.901,9415,551
222.901,12896,369
222.901,1229,369
222.901,895,529
222.901,4288,209
222.901,7156,3
222.901,3158,21
222.901,17530,472
222.901,3615,18
225.954,17812,426
225.954,1418,461
225.954,6930,38
225.954,933,364
225.954,6170,25
225.954,896,508
225.954,18203,314
225.954,899,556
225.954,920,189
229.006,47716,666
229.006,4324,23
229.006,10257,232
229.006,6580,3
229.006,5335,444
229.006,922,6
229.006,4912,406
229.006,7517,3
229.006,3201,20
229.006,7611,26
229.006,2246,36
229.006,9455,520
229.006,3111,17
229.006,10354,3
229.006,6426,3
229.006,7257,310
232.059,3232,15
232.059,14054,461
232.059,4101,15
232.059,6602,43
232.059,5508,430
232.059,6433,520
232.059,6249,3
232.059,6344,31
232.059,11594,544
232.059,6174,3
232.059,902,445
232.059,3149,15
232.059,5370,488
232.059,1071,671
232.059,19301,280
232.059,3155,18
232.059,3213,22
232.059,3172,18
232.059,3154,21
235.112,88218,242
235.112,8606,33
235.112,3139,17
235.112,7055,23
235.112,6737,3
235.112,15688,377
235.112,7111,3
235.112,7106,3
235.112,6319,517
235.112,6398,29
235.112,7167,45
235.112,9063,420
235.112,6551,3
235.112,67794,70
235.112,7474,3
235.112,6168,3
235.112,6322,31
235.112,11863,625
235.112,38119,478
235.112,1714,311
235.112,43036,366
235.112,38435,566
235.112,1217,509
235.112,3147,21
238.168,6908,3
238.168,6182,3
238.168,6294,30
238.168,6435,3
238.168,1147,26
238.168,3125,20
238.168,6606,3
238.168,7029,3
238.168,7149,3
238.168,7187,3
238.168,72197,781
238.168,3196,21
238.168,6168,25
238.168,3135,16
238.168,1900,609
238.168,4439,20
238.168,7887,142
238.168,1083,257
238.168,6493,24
238.168,6168,26
238.168,3112,18
238.168,6602,454
238.168,7110,35
238.168,14784,327
238.168,3370,21
238.168,896,605
238.168,7151,3
238.168,6185,43
238.168,8226,472
238.168,3332,17
238.168,7190,3
238.168,6177,28
238.168,40987,353
238.168,6207,28
238.168,2091,312
241.221,7056,3
241.221,7227,43
241.221,3127,19
241.221,6166,23
241.221,7002,3
241.221,6802,18
241.221,6810,43
241.221,6367,3
241.221,8426,3
241.221,4123,19
241.221,1411,679
241.221,6167,25
241.221,16180,281
241.221,1192,411
241.221,3061,22
241.221,15315,340
241.221,7083,3
241.221,19838,417
241.221,6688,556
241.221,3776,422
241.221,921,79
244.274,3889,414
244.274,2929,414
244.274,13780,560
244.274,3118,20
244.274,36616,116
244.274,7646,37
244.274,7209,3
244.274,38482,454
244.274,3343,22
244.274,20598,358
244.274,6903,3
244.274,4126,137
244.274,3218,20
244.274,4781,118
244.274,7108,35
244.274,6539,3
244.274,24686,641
247.327,7852,398
247.327,7114,36
247.327,6551,3
247.327,6558,3
247.327,6166,3
247.327,6894,3
247.327,7302,3
247.327,7275,3
247.327,10172,248
247.327,7391,3
247.327,26099,524
247.327,6254,24
247.327,6702,3
247.327,3133,16
247.327,5065,21
247.327,6182,3
250.38,3026,23
250.38,5127,402
250.38,3747,551
250.38,6165,23
250.38,6170,24
250.38,6853,3
250.38,3918,20
250.38,6764,31
250.38,3139,23
250.38,7072,3
250.38,3041,18
250.38,5984,496
250.38,7240,3
250.38,6352,3
250.38,6071,531
250.38,6174,35
250.38,6657,26
250.38,6437,33
250.38,6176,26
250.38,6172,29
250.38,976,190
250.38,6534,3
250.38,7308,3
250.38,98509,821
253.436,6255,3
253.436,3220,18
253.436,6186,3
253.436,4304,597
253.436,6181,31
253.436,6681,3
253.436,3246,21
253.436,66433,285
253.436,3149,17
253.436,6170,28
253.436,908,47
253.436,7654,3
253.436,11107,252
253.436,3212,21
253.436,10954,630
253.436,3153,20
256.489,6611,28
256.489,5454,559
256.489,6583,3
256.489,6729,3
256.489,7069,3
256.489,3096,742
256.489,7621,3
256.489,7096,465
259.542,7439,3
259.542,9709,483
259.542,6819,124
259.542,6465,3
259.542,23090,119
259.542,6182,3
259.542,1877,172
259.542,4760,106
259.542,3746,624
259.542,4399,294
259.542,3212,22
259.542,6175,30
259.542,16095,492
259.542,6807,37
259.542,2970,24
259.542,6589,3
259.542,7061,122
259.542,26844,109
259.542,1455,30
262.594,6217,36
262.594,3108,15
262.594,6454,3
262.594,20592,12
262.594,4213,463
262.594,24570,356
262.594,10713,138
262.594,1182,26
262.594,6724,35
262.594,6167,24
262.594,6223,3
262.594,17027,380
262.594,4136,24
262.594,51961,643
262.594,901,459
262.594,894,708
262.594,10209,485
262.594,3029,18
262.594,894,44
262.594,6254,26
262.594,898,292
262.594,6169,27
262.594,3266,18
262.594,6757,3
262.594,6479,3
265.647,32236,443
265.647,10733,333
265.647,7123,30
265.647,2837,245
265.647,6264,24
